date,value
1994-09-06,69.0831
1994-09-07,66.9555
1994-09-08,69.7091
1994-09-09,59.0265
1994-09-12,54.9011
1994-09-13,55.0779
1994-09-14,58.5813
1994-09-15,68.4358
1994-09-16,60.7982
1994-09-19,58.8017
1994-09-20,45.8949
1994-09-21,40.6857
1994-09-22,40.6053
1994-09-23,38.5686
1994-09-26,37.6443
1994-09-27,40.2578
1994-09-28,45.8212
1994-09-29,41.5727
1994-09-30,43.2801
1994-10-03,40.6121
1994-10-04,29.3928
1994-10-05,27.5596
1994-10-06,25.8759
1994-10-07,31.21
1994-10-10,37.8364
1994-10-11,51.1566
1994-10-12,50.6947
1994-10-13,55.6779
1994-10-14,58.0683
1994-10-17,56.2938
1994-10-18,53.2479
1994-10-19,57.0028
1994-10-20,49.4124
1994-10-21,47.0464
1994-10-24,37.8431
1994-10-25,43.1009
1994-10-26,44.0913
1994-10-27,49.3406
1994-10-28,62.6765
1994-10-31,56.8943
1994-11-01,49.255
1994-11-02,45.5273
1994-11-03,48.4486
1994-11-04,38.4525
1994-11-07,41.8189
1994-11-08,46.8832
1994-11-09,46.6095
1994-11-10,44.5091
1994-11-11,40.6537
1994-11-14,47.4695
1994-11-15,45.3191
1994-11-16,46.4887
1994-11-17,43.3212
1994-11-18,36.2783
1994-11-21,31.9674
1994-11-22,20.3149
1994-11-23,19.2496
1994-11-25,22.6966
1994-11-28,27.8419
1994-11-29,30.8894
1994-11-30,28.9978
1994-12-01,21.7376
1994-12-02,29.5287
1994-12-05,30.5881
1994-12-06,30.2624
1994-12-07,27.6075
1994-12-08,20.3291
1994-12-09,22.1502
1994-12-12,27.5299
1994-12-13,28.6665
1994-12-14,37.2982
1994-12-15,40.0153
1994-12-16,45.4224
1994-12-19,44.4045
1994-12-20,43.64
1994-12-21,48.5832
1994-12-22,50.6467
1994-12-23,50.1239
1994-12-27,60.6284
1994-12-28,56.1942
1994-12-29,55.678
1994-12-30,51.3269
1995-01-03,53.3632
1995-01-04,56.5663
1995-01-05,56.8203
1995-01-06,58.3732
1995-01-09,56.739
1995-01-10,58.2511
1995-01-11,56.8346
1995-01-12,57.9529
1995-01-13,67.1973
1995-01-16,70.3415
1995-01-17,72.4044
1995-01-18,72.7672
1995-01-19,66.8956
1995-01-20,63.8054
1995-01-23,65.5637
1995-01-24,63.359
1995-01-25,66.1848
1995-01-26,67.838
1995-01-27,69.2669
1995-01-30,62.5057
1995-01-31,63.646
1995-02-01,65.9492
1995-02-02,69.4815
1995-02-03,76.1615
1995-02-06,78.3274
1995-02-07,78.1837
1995-02-08,76.8113
1995-02-09,76.0142
1995-02-10,77.6648
1995-02-13,76.1535
1995-02-14,76.2345
1995-02-15,79.2192
1995-02-16,78.5619
1995-02-17,74.0339
1995-02-21,73.1618
1995-02-22,73.9772
1995-02-23,75.7567
1995-02-24,75.8809
1995-02-27,68.5172
1995-02-28,73.0419
1995-03-01,68.6602
1995-03-02,65.1154
1995-03-03,65.0643
1995-03-06,64.1436
1995-03-07,57.7386
1995-03-08,58.4071
1995-03-09,57.1968
1995-03-10,68.4449
1995-03-13,67.764
1995-03-14,70.2131
1995-03-15,68.7083
1995-03-16,74.2178
1995-03-17,72.7231
1995-03-20,70.7774
1995-03-21,68.6492
1995-03-22,69.0862
1995-03-23,68.0994
1995-03-24,74.6036
1995-03-27,76.1435
1995-03-28,75.7894
1995-03-29,75.6596
1995-03-30,75.2136
1995-03-31,72.1719
1995-04-03,73.0162
1995-04-04,78.0278
1995-04-05,77.4791
1995-04-06,77.4654
1995-04-07,78.0845
1995-04-10,77.0251
1995-04-11,71.5073
1995-04-12,74.139
1995-04-13,76.4094
1995-04-17,66.9129
1995-04-18,63.772
1995-04-19,63.6626
1995-04-20,63.508
1995-04-21,66.8085
1995-04-24,72.1941
1995-04-25,70.8421
1995-04-26,69.5836
1995-04-27,68.581
1995-04-28,71.2232
1995-05-01,68.1188
1995-05-02,69.3541
1995-05-03,75.5888
1995-05-04,74.2578
1995-05-05,72.1672
1995-05-08,74.7693
1995-05-09,72.5882
1995-05-10,72.4112
1995-05-11,73.4203
1995-05-12,74.9325
1995-05-15,75.3221
1995-05-16,76.6231
1995-05-17,74.4121
1995-05-18,61.0953
1995-05-19,59.8026
1995-05-22,63.9444
1995-05-23,71.7601
1995-05-24,70.6539
1995-05-25,68.5136
1995-05-26,61.6225
1995-05-30,63.2865
1995-05-31,75.3578
1995-06-01,73.9967
1995-06-02,69.7151
1995-06-05,75.0215
1995-06-06,75.0485
1995-06-07,71.2016
1995-06-08,70.5931
1995-06-09,61.3534
1995-06-12,66.843
1995-06-13,72.8358
1995-06-14,72.6994
1995-06-15,72.2389
1995-06-16,74.1501
1995-06-19,77.9329
1995-06-20,75.8253
1995-06-21,73.2176
1995-06-22,79.3533
1995-06-23,77.0648
1995-06-26,68.6161
1995-06-27,67.5034
1995-06-28,67.7075
1995-06-29,65.0637
1995-06-30,66.1046
1995-07-03,66.9977
1995-07-05,66.566
1995-07-06,75.4693
1995-07-07,77.9089
1995-07-10,76.5393
1995-07-11,74.0363
1995-07-12,79.2568
1995-07-13,77.9722
1995-07-14,75.6217
1995-07-17,75.7338
1995-07-18,69.416
1995-07-19,57.4048
1995-07-20,61.1602
1995-07-21,60.246
1995-07-24,63.5349
1995-07-25,68.8202
1995-07-26,69.2572
1995-07-27,72.9746
1995-07-28,68.7611
1995-07-31,67.5785
1995-08-01,65.4208
1995-08-02,62.9921
1995-08-03,60.9102
1995-08-04,59.8768
1995-08-07,62.7559
1995-08-08,61.4141
1995-08-09,58.1452
1995-08-10,54.0344
1995-08-11,49.1914
1995-08-14,57.1698
1995-08-15,55.44
1995-08-16,56.6461
1995-08-17,55.5398
1995-08-18,57.522
1995-08-21,56.3515
1995-08-22,58.1598
1995-08-23,54.9936
1995-08-24,53.3128
1995-08-25,56.8105
1995-08-28,50.4422
1995-08-29,51.384
1995-08-30,52.562
1995-08-31,53.5535
1995-09-01,61.2218
1995-09-05,67.7394
1995-09-06,70.3273
1995-09-07,69.3626
1995-09-08,72.1595
1995-09-11,70.8017
1995-09-12,73.3927
1995-09-13,76.2106
1995-09-14,79.0773
1995-09-15,76.3791
1995-09-18,72.8758
1995-09-19,73.4152
1995-09-20,73.1753
1995-09-21,68.0959
1995-09-22,63.6778
1995-09-25,60.6016
1995-09-26,57.695
1995-09-27,56.6026
1995-09-28,62.1656
1995-09-29,59.2247
1995-10-02,55.3644
1995-10-03,54.0432
1995-10-04,51.3255
1995-10-05,53.1138
1995-10-06,53.9335
1995-10-09,49.2724
1995-10-10,47.0356
1995-10-11,50.5719
1995-10-12,54.9197
1995-10-13,56.9234
1995-10-16,54.4854
1995-10-17,57.9044
1995-10-18,56.5623
1995-10-19,60.3474
1995-10-20,56.9222
1995-10-23,51.4237
1995-10-24,51.5733
1995-10-25,45.3338
1995-10-26,37.2378
1995-10-27,41.7706
1995-10-30,46.5009
1995-10-31,42.4525
1995-11-01,44.7362
1995-11-02,55.5121
1995-11-03,56.4692
1995-11-06,52.5643
1995-11-07,49.9508
1995-11-08,57.4003
1995-11-09,59.2807
1995-11-10,58.0027
1995-11-13,56.1062
1995-11-14,50.9485
1995-11-15,56.4765
1995-11-16,60.0278
1995-11-17,62.9638
1995-11-20,57.9094
1995-11-21,63.3111
1995-11-22,62.3995
1995-11-24,63.4012
1995-11-27,66.2872
1995-11-28,71.2036
1995-11-29,72.4661
1995-11-30,69.0892
1995-12-01,72.1918
1995-12-04,75.3799
1995-12-05,77.3011
1995-12-06,78.825
1995-12-07,74.0508
1995-12-08,75.6269
1995-12-11,75.9352
1995-12-12,72.1698
1995-12-13,74.1743
1995-12-14,68.3528
1995-12-15,67.0197
1995-12-18,55.6104
1995-12-19,59.6378
1995-12-20,53.3345
1995-12-21,58.5307
1995-12-22,58.8473
1995-12-26,61.9397
1995-12-27,60.4743
1995-12-28,60.4539
1995-12-29,64.6171
1996-01-02,72.1567
1996-01-03,74.9517
1996-01-04,67.9518
1996-01-05,65.2552
1996-01-08,65.9141
1996-01-09,53.7456
1996-01-10,37.8701
1996-01-11,34.0353
1996-01-12,33.6169
1996-01-15,33.0553
1996-01-16,45.1321
1996-01-17,42.5243
1996-01-18,45.2881
1996-01-19,50.4515
1996-01-22,53.9135
1996-01-23,53.4873
1996-01-24,63.2405
1996-01-25,58.3354
1996-01-26,63.6777
1996-01-29,67.1505
1996-01-30,73.2028
1996-01-31,79.9662
1996-02-01,79.8579
1996-02-02,76.8005
1996-02-05,78.6167
1996-02-06,81.403
1996-02-07,82.9559
1996-02-08,89.3073
1996-02-09,88.407
1996-02-12,89.3834
1996-02-13,86.8771
1996-02-14,80.9753
1996-02-15,76.0847
1996-02-16,72.5447
1996-02-20,60.2282
1996-02-21,68.265
1996-02-22,78.0256
1996-02-23,75.8513
1996-02-26,63.7377
1996-02-27,60.1284
1996-02-28,57.6351
1996-02-29,51.7345
